plot,year,species,LAI,carbon dioxide,temp
plot10,2015,all,0.936575002,elevated,9
plot10,2016,all,1.263778352,elevated,9
plot10,2017,all,1.311807649,elevated,9
plot10,2018,all,1.454139255,elevated,9
plot10,2019,all,2.108385776,elevated,9
plot10,2020,all,2.14219344,elevated,9
plot10,2021,all,2.128377761,elevated,9
plot10,2022,all,2.798338003,elevated,9
plot10,2015,larch,0.354426228,elevated,9
plot10,2016,larch,0.471604674,elevated,9
plot10,2017,larch,0.391382435,elevated,9
plot10,2018,larch,0.65328753,elevated,9
plot10,2019,larch,0.651926109,elevated,9
plot10,2020,larch,0.68506039,elevated,9
plot10,2021,larch,0.666411291,elevated,9
plot10,2022,larch,0.672562623,elevated,9
plot10,2015,spruce,0.664630164,elevated,9
plot10,2016,spruce,0.959619641,elevated,9
plot10,2017,spruce,0.871823785,elevated,9
plot10,2018,spruce,1.309490607,elevated,9
plot10,2019,spruce,1.386752915,elevated,9
plot10,2020,spruce,1.698663176,elevated,9
plot10,2021,spruce,1.583438641,elevated,9
plot10,2022,spruce,2.065763118,elevated,9
plot10,2015,larch,0.343077874,elevated,9
plot10,2015,all,0.902758286,elevated,9
plot10,2015,spruce,0.677270645,elevated,9
plot10,2016,larch,0.564391012,elevated,9
plot10,2016,all,1.362099799,elevated,9
plot10,2016,spruce,0.861691642,elevated,9
plot10,2017,larch,0.484319278,elevated,9
plot10,2017,all,1.401778752,elevated,9
plot10,2017,spruce,0.950600687,elevated,9
plot10,2018,larch,0.612051535,elevated,9
plot10,2018,all,1.827380424,elevated,9
plot10,2018,spruce,1.211198135,elevated,9
plot10,2019,larch,0.712770465,elevated,9
plot10,2019,all,1.936419738,elevated,9
plot10,2019,spruce,1.308186557,elevated,9
plot10,2020,larch,0.697126844,elevated,9
plot10,2020,all,2.424801842,elevated,9
plot10,2020,spruce,1.715328389,elevated,9
plot10,2021,larch,0.580631989,elevated,9
plot10,2021,all,2.416868144,elevated,9
plot10,2021,spruce,1.81499365,elevated,9
plot10,2022,larch,0.68848563,elevated,9
plot10,2022,all,2.18260942,elevated,9
plot10,2022,spruce,1.867007986,elevated,9
plot10,2015,larch,0.352255601,elevated,9
plot10,2015,all,0.890016927,elevated,9
plot10,2015,spruce,0.647114004,elevated,9
plot10,2016,larch,0.40393801,elevated,9
plot10,2016,all,1.398240516,elevated,9
plot10,2016,spruce,0.935480723,elevated,9
plot10,2017,larch,0.442825123,elevated,9
plot10,2017,all,1.365222952,elevated,9
plot10,2017,spruce,0.900539181,elevated,9
plot10,2018,larch,0.649077738,elevated,9
plot10,2018,all,1.6655564,elevated,9
plot10,2018,spruce,1.220713769,elevated,9
plot10,2019,larch,0.715303245,elevated,9
plot10,2019,all,1.936896867,elevated,9
plot10,2019,spruce,1.436849621,elevated,9
plot10,2020,larch,0.699278261,elevated,9
plot10,2020,all,2.118263145,elevated,9
plot10,2020,spruce,1.624353869,elevated,9
plot10,2021,larch,0.66517849,elevated,9
plot10,2021,all,2.369759692,elevated,9
plot10,2021,spruce,1.771226714,elevated,9
plot10,2022,larch,0.639385552,elevated,9
plot10,2022,all,2.364485495,elevated,9
plot10,2022,spruce,1.95605732,elevated,9
plot10,2015,larch,0.387855357,elevated,9
plot10,2015,all,0.960458909,elevated,9
plot10,2015,spruce,0.755492932,elevated,9
plot10,2016,larch,0.41963495,elevated,9
plot10,2016,all,1.262625144,elevated,9
plot10,2016,spruce,0.966664082,elevated,9
plot10,2017,larch,0.428686692,elevated,9
plot10,2017,all,1.378688518,elevated,9
plot10,2017,spruce,0.91839769,elevated,9
plot10,2018,larch,0.584244135,elevated,9
plot10,2018,all,1.783530887,elevated,9
plot10,2018,spruce,1.220650913,elevated,9
plot10,2019,larch,0.721149057,elevated,9
plot10,2019,all,2.003047242,elevated,9
plot10,2019,spruce,1.274515971,elevated,9
plot10,2020,larch,0.728594753,elevated,9
plot10,2020,all,2.617192564,elevated,9
plot10,2020,spruce,1.577667698,elevated,9
plot10,2021,larch,0.610702537,elevated,9
plot10,2021,all,2.034058701,elevated,9
plot10,2021,spruce,1.672577267,elevated,9
plot10,2022,larch,0.714476977,elevated,9
plot10,2022,all,2.546202552,elevated,9
plot10,2022,spruce,1.951340352,elevated,9
plot10,2015,larch,0.347960048,elevated,9
plot10,2015,all,0.968921304,elevated,9
plot10,2015,spruce,0.651464164,elevated,9
plot10,2016,larch,0.406269973,elevated,9
plot10,2016,all,1.217205662,elevated,9
plot10,2016,spruce,0.912886609,elevated,9
plot10,2017,larch,0.430815544,elevated,9
plot10,2017,all,1.24552492,elevated,9
plot10,2017,spruce,0.891031868,elevated,9
plot10,2018,larch,0.682309895,elevated,9
plot10,2018,all,1.586336489,elevated,9
plot10,2018,spruce,1.296626636,elevated,9
plot10,2019,larch,0.68483639,elevated,9
plot10,2019,all,1.887491716,elevated,9
plot10,2019,spruce,1.387599958,elevated,9
plot10,2020,larch,0.723582533,elevated,9
plot10,2020,all,3.036562434,elevated,9
plot10,2020,spruce,1.610060399,elevated,9
plot10,2021,larch,0.635727586,elevated,9
plot10,2021,all,2.339692741,elevated,9
plot10,2021,spruce,1.669163246,elevated,9
plot10,2022,larch,0.697043182,elevated,9
plot10,2022,all,2.531402528,elevated,9
plot10,2022,spruce,1.785744942,elevated,9
plot10,2015,larch,0.338703139,elevated,9
plot10,2015,all,0.96446786,elevated,9
plot10,2015,spruce,0.740328638,elevated,9
plot10,2016,larch,0.547631105,elevated,9
plot10,2016,all,1.249371359,elevated,9
plot10,2016,spruce,0.995095268,elevated,9
plot10,2017,larch,0.458256519,elevated,9
plot10,2017,all,1.270465515,elevated,9
plot10,2017,spruce,0.960991558,elevated,9
plot10,2018,larch,0.622272654,elevated,9
plot10,2018,all,1.529369068,elevated,9
plot10,2018,spruce,1.180559534,elevated,9
plot10,2019,larch,0.693041813,elevated,9
plot10,2019,all,2.053624042,elevated,9
plot10,2019,spruce,1.347543254,elevated,9
